Designator,Mid X,Mid Y,Rotation,Layer
R79,52.2,-21.0,180.0,top
R8,50.4,-22.91,90.0,top
R80,32.8,-57.81,90.0,bottom
R81,32.8,-53.19,90.0,bottom
R82,25.5,-42.3,0.0,top
R83,25.5,-43.3,0.0,top
R9,59.41,-25.6,0.0,top
SW1,56.2,-19.4,270.0,top
SW2,34.7,-56.6,270.0,top
SW3,34.7,-47.4,270.0,top
U1,29.7,-31.3,0.0,top
U2,22.55,-58.325,270.0,top
U3,26.75,-50.1625,270.0,top
U4,52.9,-32.3,0.0,top
U5,55.0,-49.3,180.0,top
U6,35.4,-53.3,180.0,bottom
Y1,18.1,-37.9,0.0,top
